lever,lever_value,d,layers,heads,ff_mult,vocab,batch,seq_len,precision,optimizer,checkpointing,steps,n_params,predicted_weights_gb,predicted_gradients_gb,predicted_optimizer_gb,predicted_autocast_weight_cache_gb,predicted_activations_gb,predicted_allocated_gb,predicted_reserved_gb,predicted_oom,max_allocated_gb,max_reserved_gb,ratio,measured_param_bytes,measured_grad_bytes,measured_optimizer_bytes,alloc_after_model_gb,alloc_after_optimizer_gb,peak_forward_gb,measured_activations_gb,oom,wall_time_s,step_time_mean_ms,step_time_median_ms
baseline,baseline,2048,20,16,4,1000,256,100,amp_bf16,adam,False,7,1011262440,4.045,4.045,8.0901,2.0225,42.2015,60.4042,62.2042,False,59.2206,60.1673,0.98,4045049760,4045049760,8090100492,4.0459,16.3001,58.7294,42.9205,False,9.631,413.229,413.803
batch_size,256,2048,20,16,4,1000,256,100,amp_bf16,adam,False,7,1011262440,4.045,4.045,8.0901,2.0225,42.2015,60.4042,62.2042,False,59.2206,60.1673,0.98,4045049760,4045049760,8090100492,4.0459,16.3001,58.7294,42.9205,False,9.675,414.175,413.823
batch_size,1024,2048,20,16,4,1000,1024,100,amp_bf16,adam,False,7,1010728960,4.0429,4.0429,8.0858,2.0215,168.806,186.9991,188.7991,True,OOM,OOM,,,,,,,,,True,,,
batch_size,4096,2048,20,16,4,1000,4096,100,amp_bf16,adam,False,7,1010728960,4.0429,4.0429,8.0858,2.0215,675.224,693.4171,695.2171,True,OOM,OOM,,,,,,,,,True,,,
seq_len,100,2048,20,16,4,1000,256,100,amp_bf16,adam,False,7,1011262440,4.045,4.045,8.0901,2.0225,42.2015,60.4042,62.2042,False,59.2206,60.1673,0.98,4045049760,4045049760,8090100492,4.0459,16.3001,58.7294,42.9205,False,9.682,414.588,414.826
seq_len,512,2048,20,16,4,1000,256,512,amp_bf16,adam,False,7,1010728960,4.0429,4.0429,8.0858,2.0215,216.0717,234.2648,236.0648,True,OOM,OOM,,,,,,,,,True,,,
seq_len,1024,2048,20,16,4,1000,256,1024,amp_bf16,adam,False,7,1010728960,4.0429,4.0429,8.0858,2.0215,432.1433,450.3365,452.1365,True,OOM,OOM,,,,,,,,,True,,,
seq_len,2048,2048,20,16,4,1000,256,2048,amp_bf16,adam,False,7,1010728960,4.0429,4.0429,8.0858,2.0215,864.2867,882.4798,884.2798,True,OOM,OOM,,,,,,,,,True,,,
optimizer,adam,2048,20,16,4,1000,256,100,amp_bf16,adam,False,7,1011262440,4.045,4.045,8.0901,2.0225,42.2015,60.4042,62.2042,False,59.2206,60.1673,0.98,4045049760,4045049760,8090100492,4.0459,16.3001,58.7294,42.9205,False,9.619,414.426,414.13
optimizer,adam8bit,2048,20,16,4,1000,256,100,amp_bf16,adam8bit,False,7,1011262440,4.045,4.045,2.0225,2.0225,42.2015,54.3366,56.1366,False,53.1814,54.2932,0.979,4045049760,4045049760,2055849536,4.0459,10.2659,52.6889,42.9155,False,10.515,425.274,425.262
checkpointing,False,2048,20,16,4,1000,256,100,amp_bf16,adam,False,7,1011262440,4.045,4.045,8.0901,2.0225,42.2015,60.4042,62.2042,False,59.2206,60.1673,0.98,4045049760,4045049760,8090100492,4.0459,16.3001,58.7294,42.9205,False,9.645,414.94,414.745
checkpointing,True,2048,20,16,4,1000,256,100,amp_bf16,adam,True,7,1011262440,4.045,4.045,8.0901,2.0225,4.4528,22.6555,28.4555,False,20.3462,26.4619,0.898,4045049760,4045049760,8090100492,4.0459,16.3007,19.8982,4.0454,False,10.671,544.128,545.043
checkpointing_batch,256,2048,20,16,4,1000,256,100,amp_bf16,adam,True,7,1011262440,4.045,4.045,8.0901,2.0225,4.4528,22.6555,28.4555,False,20.3462,26.4619,0.898,4045049760,4045049760,8090100492,4.0459,16.3007,19.8982,4.0454,False,10.708,544.951,543.628
checkpointing_batch,1024,2048,20,16,4,1000,1024,100,amp_bf16,adam,True,7,1011262440,4.045,4.045,8.0901,2.0225,17.811,36.0138,41.8138,False,40.0338,44.3883,1.112,4045049760,4045049760,8090100492,4.0459,16.4557,37.04,23.5781,False,22.64,2050.359,2050.466
checkpointing_batch,4096,2048,20,16,4,1000,4096,100,amp_bf16,adam,True,7,1010728960,4.0429,4.0429,8.0858,2.0215,71.2442,89.4373,95.2373,True,OOM,OOM,,,,,,,,,True,,,
checkpointing_seq,100,2048,20,16,4,1000,256,100,amp_bf16,adam,True,7,1011262440,4.045,4.045,8.0901,2.0225,4.4528,22.6555,28.4555,False,20.3462,26.4619,0.898,4045049760,4045049760,8090100492,4.0459,16.3007,19.8982,4.0454,False,10.652,548.306,550.883
checkpointing_seq,512,2048,20,16,4,1000,256,512,amp_bf16,adam,True,7,1011262440,4.045,4.045,8.0901,2.0225,22.7981,41.0009,46.8009,False,47.7896,51.3697,1.166,4045049760,4045049760,8090100492,4.0496,16.5169,43.443,31.2727,False,28.146,2740.209,2739.274
checkpointing_seq,1024,2048,20,16,4,1000,256,1024,amp_bf16,adam,True,7,1010728960,4.0429,4.0429,8.0858,2.0215,45.5963,63.7894,69.5894,False,OOM,OOM,,,,,,,,,True,,,
checkpointing_seq,2048,2048,20,16,4,1000,256,2048,amp_bf16,adam,True,7,1010728960,4.0429,4.0429,8.0858,2.0215,91.1926,109.3857,115.1857,True,OOM,OOM,,,,,,,,,True,,,
combined,baseline,2048,20,16,4,1000,4096,2048,amp_bf16,adam,False,7,1010728960,4.0429,4.0429,8.0858,2.0215,13828.5867,13846.7799,13848.5799,True,OOM,OOM,,,,,,,,,True,,,
combined,adam8bit,2048,20,16,4,1000,4096,2048,amp_bf16,adam8bit,False,7,1010728960,4.0429,4.0429,2.0215,2.0215,13828.5867,13840.7155,13842.5155,True,OOM,OOM,,,,,,,,,True,,,
combined,checkpointing,2048,20,16,4,1000,4096,2048,amp_bf16,adam,True,7,1010728960,4.0429,4.0429,8.0858,2.0215,1459.0809,1477.274,1483.074,True,OOM,OOM,,,,,,,,,True,,,
combined,both,2048,20,16,4,1000,4096,2048,amp_bf16,adam8bit,True,7,1010728960,4.0429,4.0429,2.0215,2.0215,1459.0809,1471.2097,1477.0097,True,OOM,OOM,,,,,,,,,True,,,
precision,fp32,2048,20,16,4,1000,256,100,fp32,adam,False,7,1010728960,4.0429,4.0429,8.0858,0.0,77.9067,94.0784,95.8784,True,OOM,OOM,,,,,,,,,True,,,
